dataset,generator,alpha,certified_risk_level_alpha,M,seed,raw_topM_released,raw_topM_audited_false_rate,raw_topM_unsupported_rate,raw_topM_policy,parc_released,parc_UTR,parc_audited_FTR,parc_conservative_FTR,empirical_audited_FTR,conservative_label_uncertainty_FTR,mass_ratio,best_mass_ratio,self_consistency_margin,required_emax,max_observed_e,mean_observed_e,selected_e_min,selected_e_mean,selected_e_max,release_feasible,empty_reason,safe_refusal_reason,HOTA_or_proxy,IDF1_or_proxy,MOTA_or_proxy,runtime_sec,paper_table_scope
OVT-B,OWLv2,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0347132838396408,0.0347132838396408,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
OVT-B,OWLv2,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0192456733223414,0.0192456733223414,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
OVT-B,OWLv2,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0348655406041717,0.0348655406041717,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,OWLv2,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0251878412257681,0.0251878412257681,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,OWLv2,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0251559290221353,0.0251559290221353,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,OWLv2,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0251240107974674,0.0251240107974674,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
OVT-B,OWL-ViT v1,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0026593762559245,0.0026593762559245,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
OVT-B,OWL-ViT v1,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0025620321005338,0.0025620321005338,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
OVT-B,OWL-ViT v1,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0015772990392313,0.0015772990392313,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,OWL-ViT v1,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0020608227618976,0.0020608227618976,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,OWL-ViT v1,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0022139982858059,0.0022139982858059,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,OWL-ViT v1,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0020608227618976,0.0020608227618976,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
OVT-B,GroundingDINO detector-only,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,105.0,0.019047619047619,,0.0095238095238095,,0.0095238095238095,1.0642654355923875,1.0642654355923875,,,,,,,,True,,,,,,,main_protocol
OVT-B,GroundingDINO detector-only,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,150.0,0.0266666666666666,,0.02,,0.02,1.46913017622778,1.46913017622778,,,,,,,,True,,,,,,,main_protocol
OVT-B,GroundingDINO detector-only,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,150.0,0.02,,0.0066666666666666,,0.0066666666666666,2.0832338022762347,2.0832338022762347,,,,,,,,True,,,,,,,main_protocol
TAO,GroundingDINO detector-only,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0226472784572209,0.0226472784572209,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,GroundingDINO detector-only,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0227121088145159,0.0227121088145159,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
TAO,GroundingDINO detector-only,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0225175333176006,0.0225175333176006,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol
OVT-B,GroundingDINO + tracker,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,105.0,0.019047619047619,0.0,0.0095238095238095,0.0,0.0095238095238095,1.0642654355923873,1.0642654355923873,0.9180776513198196,,38.546439933685846,,15.203791937034106,22.304934535929057,38.546439933685846,True,,,,,,,main_protocol
OVT-B,GroundingDINO + tracker,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,150.0,0.0266666666666666,0.0,0.02,0.0,0.02,1.46913017622778,1.46913017622778,4.691301762277799,,37.20674236442314,,14.6913017622778,23.262240544677287,37.20674236442314,True,,,,,,,main_protocol
OVT-B,GroundingDINO + tracker,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,150.0,0.02,0.0,0.0066666666666666,0.0,0.0066666666666666,2.083233802276235,2.083233802276235,10.83233802276235,,37.44649344759844,,20.83233802276235,33.68061821796893,37.44649344759844,True,,,,,,,main_protocol
